Review Author,Rating,Date of Review,Review Text
Chris Cairns,Rating 1 out of 5,"March 14, 2023","I DEFINITELY didn't enjoy this book. The premise was good, and if the book delivered what it promised, it could have been great. But it didn't. I feel the whole point of this book was to try and offend people. There was lots of gore, violence, and misogyny. I enjoy horror, but this was not it. The plot was weak, and the time jumping was confusing. The graphic scenes of rape added no actual meaning to the book, but since finishing this book, I've discovered that the author claimed, ""I truly, sincerely believe that art should have more rape in it"". I cannot understand how this made it out of a publishing house. This is another author I will be adding to my, never read a book by them again list."
April Daniels,Rating 5 out of 5,"October 9, 2021","Manhunt is the feel-bad classic of the decade. A pitiless, nerve-shredding descent into Hell; as ruthless as it is perceptive, this book reached into my chest, tore my fears out, and showed them to me. Gretchen Felker-Martin writes the best queer horror on the market."
Muriel (The Purple Book Wyrm),Rating 1 out of 5,"July 23, 2022","More accurate rating: 1/10.Full video rant review here: https://youtu.be/F5YI7bXmhdg.Disclaimer: I read this primarily because Normal People was making my grief and depression worse, and I needed some trash to distract my broken heart. So yes, I went in fully expecting this to be bad - though not quite as bad as it turned out to be -, and as an autistic, gender-critical feminist (so technically one of the book's ""baddies"" lmao) who has this whole debate as one of her very niche special interests. Y'all ready? I've read my fair share of sex-based plague/power-shift stories over the past couple of years (The Power, The Screwfly Solution, The Book of the Unnamed Midwife, Y: The Last Man and The End of Men). I've been disappointed about as equally as I've been satisfied by them: what often fails for me is the superficiality of the theming and the flimsiness of the world-building, The Power and  The End of Men were especially guilty of that... But holy shit does Manhunt take the cake here.Manhunt, a text that tries to be a queered up and porned up amalgamation of Y: The Last Man, The Screwfly Solution and The Walking Dead, presents the reader with a world where a pathogen, the t-rex (really? 🙄) virus transforms anyone with high-enough testosterone levels into an über-aggressive, dehumanised hybrid between a zombie and a werewolf that wants to rape, eat and kill (not necessarily in that order) anything that has a hole between their legs. In practice however, that just means men and... pre-op trans women, but not really because mile-wide holes in the world-building. The remaining women and trans people have to survive in a very ugly world where groups of so-called TERFs (never defined for normies of course) have established a matriarchy of some sort and are going around killing the trans women they find for fear of them wolf-zombying out on them. We follow two trans women main characters, Beth and Fran, quickly followed by a trans man, Robbie, their woman friend and hormone supplier Indi, and Ramona, one of the baddies who is actually a chaser who ends up betraying her camp to get some transgendered ass, literally. And... Not much happens, really, that resembles a plot. Random events happen, so that lots of sex (and gross sex) can happen, and then BAM! some final localised showdown between the baddie TERFs and the trans people + allies, with zero consequences for the wider world or the future of said world.This book is supposed to be the author's answer to the lack of trans representation in the niche genre of ""sex-based apocalypse fiction"". A) That's not at all what this is, but I'll get back to that; B) It's a flawed premise in the sense trans people are represented, covertly, in that genre - just not in the way some would like. In The End of Men, where the plague latches onto the Y chromosome, trans women exist, but they die along with the men, because they are male humans. Also, this book is sold as horror, but it honestly felt more like porn to me at times. At the very least it's... I don't know, horror-porn? There is so much pointless, grossly-described sex in this book. To say it's gratuitous is an understatement. Ex: He paused, open mouth full of half-chewed mush. Beth wondered if he breathed through his nose that loud when he sucked cock. 🤦‍♀️ It's all kinky shit too (no offence to BDSMers, but the specific kind displayed in Manhunt was really not my cup of tea), with power-play involving constant references to ""mommies"" and ""daddies"". Fuck's sake! 🤮 In any case the book is certainly not scarier than something like The Walking Dead, nor even as gory. Honestly I was taken aback by the sex, and clear contempt, not to say hatred, that permeated the page, not the relatively mild splattering of body parts implied by this supposedly being ""splatterpunk"". 1) Plot:What plot?No, I mean seriously, what actual plot? Beth and Fran collect testicles to extract oestrogen (like that would actually work, even the crazy fucks who sold testosterone as an elixir of youth back when sex steroids were first discovered would create a solution out of balls and inject it sub-dermally, not eat the gonads raw and let their stomach acids ruin their contents), Robbie saves them from marauding zombie-werewolves (but not before Beth gets graphically anally raped, and mildly gets off on it, of course), then the trio leaves with their bud Indi to go to a bunker held by a crazy rich kid when the TERFs roll into their town, the TERF character fucks a non-binary male prostitute, feels bad about it, leads a hit squad and gets in gud with the leader called Teach, then shit with the bunker goes south, the protags hole up by this old WW II fort and face a final showdown with the TERF army who got themselves a shiny battleship, but not before the chaser TERF betrays her side, ultimately turning the tables and allowing the protags, minus the trans woman Fran, to see another day in this idiotic world the author has created. This thing was so boring at times, filled as it was - in-between the porn and Twitter screeding - with absurd similes, pointless descriptions and emotionless flashbacks. 2) Writing:The writing was really bad in places, fine in others. But oh my gods the similes... And the repetitions... And the immature, ""edgy-because-I-can"" language. Did you know fellow readers that a gun shot sounds like a tiny fluffy dog (a bichon frisé, to be exact)? Or that frying something in a pan sounds like small mouths smacking? 🤦‍♀️ I've also learned that every other person has skin that smells like milk, or that they taste like milk (huh?). Or that zombie-werewolf men would have breath that smells like cum (because that totally makes sense?). Everyone also has stretch marks bloody everywhere. The word cunt is also used all. The. Bloody. Time. It's not even that it offends me so much, because it doesn't really, it's just that it's so clearly, artlessly meant to be vulgar and edgy - this ain't D.H.Lawrence material folks. And not only do the trans women say cunt all of the time, the women do too, even the American radical feminists who I'm pretty sure loathe the word. Every female refers to their own vulva as a cunt, and refers to other women as bitches and cunts all of the time. #justwomanthings amirite?! 🥴 (Periods are also referenced a suspicious - read fetishistic - amount of times)Another sin in my book is using the word girl when referring to grown-arse women (or trans women). Because here again it is done all. Of. The. Bloody. Time. To the point where you really do start to wonder if it's not a fetish for the author (because it probably is, as is all of the porn content in the book really). Women in their 30s! All the time! Fuck's sake. Yes women sometimes call each other girls (and I hate it), but absolutely not to the extent the author uses. It is infantilising, disrespectful and gross, especially when plonked into this kind of sentence: Fuck me so I can feel like a girl. 🤮🤮🤮 Like I'm sorry but who the fuck thinks this kind of thing after having been violently anally raped by a bunch of zombie-werewolves?! It is so freaking disgusting and creepy. This book will also (quite to the contrary of what the author seems to believe on Twitter) become completely irrelevant in a few years, chock-full as it is with American younger Millennial/Zoomer idpol-wars ""discourse"" and pop-media references that don't mean jack-shit to the majority of people. And there are multiple, poorly established time-jumps and shit, not that I really cared. 3) Character-work:This book is misogynistic, absolutely, but it's also lesbophobic, fatphobic (never thought I'd use that word but here we are), a little misandrist too and even, I would argue, transphobic! Yup. Not only does the author clearly imply, several times, that trans women are not really women (which is considered transphobic these days, yes?), ironically but hilariously enough; she constantly stresses how Beth doesn't pass, how both her and Fran have to prove or acquire their womanhood, because deep down they know they're not really women. She constantly describes trans women characters in very unflattering terms, emphasising their masculine traits. And even more ironically, she made Beth and Fran to be absolute stereotypes, playing right into her ideological opponent's hands. 😂Beth, Fran (and Robbie too honestly) are unsympathetic, vain, conceited, narcissistic sex pests who only think about the fact they can't fully transition now the Apocalypse has happened, or fucking (popping boners at the same time, #justwomanthings) when they're about to die or kill someone else (no, seriously). Beth also, you know, broke another kid's jaw when she was six, over a toy car, and Robbie both assaulted a teenager with a nail gun at school and committed arson, burning an entire house down when he was younger. Charming, totally not mentally unstable people, right? Like for real, I was supposed to care/root for these creeps? Their virtue-signalling Indian doctor buddy wasn't much better: like how do you remain morbidly obese for five years after an apocalypse if it's not by hoarding food? And that's another thing: the author spends just so much time detailing the obesity of her character, lingering on it in a really unsettling, and quite honestly fetishising way. Gross. But yes Indi converts ball juice into oestrogen, is a fertility specialist but like... Never tries to help out by figuring out a way to keep humans reproducing? No? Can only bitch about white women and thirst, ""cunt dripping"" as cunts do (not, the author deserves a spot on r/badwomensanatomy, and r/transwomenwritingwomen I guess) after her submissive trans girlfriend. And the betrayer TERF Ramona is also a gross sex pest who calls herself a lesbian but secretly thirsts for transsexual dick (as all lesbians do, n'est-ce pas?). Even the villains aren't convincing. They're cartoonishly evil, is the problem. Like the head baddie who helms a platoon of TERFs for the Matriarchy of Maryland or some shit, called Teach, used to work at Guantanamo. For real bruh? Oh, she also used to be buds with Janice fucking Raymond. Like anyone outside of this debate is going to fucking know who that even is (no offence to her). It's so bloody irrelevant, not to mention stupid, Jesus! 🤦‍♀️ It's not as bad as the ""Knights of J.K.Rowling"" I suppose. Like freaking hell, talk about unsubtle... It's so bloody unrealistic and immersion-breaking, how is anyone supposed to take that seriously?! However much genderists cry about it, J.K.Rowling is not considered evil by the majority of people, and Harry Potter has entered the canon of classical children's fiction whether you like it or not. Grow up and get the fuck over it. Let's be real, most everyone is hateful in the book - though again not precisely in the way the author intended I bet. The trans protags are perverts and psychos - Beth strangles a woman for no reason and laughs while doing it, I kid you not. Robbie says this: If he'd spent his time preparing for anything since the end of the world, shooting a bunch of screaming cis idiots was it. (Add ""cisphobia"" to the list of offences). Ramona is a pervert and psycho. Teach goes through a ""Daenerys Targaryen in Season 08"" nonsensical arc-spurt and turns über-evil towards the end as she rips the uterus of a woman out, still alive, to punish betrayal (it doesn't make sense for several reasons, but it doesn't have to I guess). I honestly hoped everyone would die by the end, but the author had to give some plot armour to her protags, duh - even though realistically the military-trained TERFs with actual firearms should've won because that's just freaking logical - just de-power your baddies if you want to make it convincing! 🙄The TERFs/radfems aren't portrayed accurately at all, they're just made to be cartoonishly evil, yet even then they have very valid reasons to be wary of trans women (world-building in a sec). And the trans characters are huge stereotypes that basically confirm the fears women have about some of them: Beth and Fran are textbook AGPs with unhinged fantasies and questionable boundaries, Robbie is rage-filled and narcissistic. Great trans representation, really?!4) World-building:There is none. I'm serious. Nothing makes any fucking sense in this story: elements of the world-building are tweaked and plot contrivances inserted any time the author needs to link up fetish sex scenes, violence or Twitter screeding, and that is it. - The virus makes no sense (for one it only affects humans). The premise of binding it to testosterone levels fails on so many fronts, and is clearly meant to be a(n offensive at times) proxy for masculinity. The thing is, I recently read a book that explains clearly why it's not a good proxy for masculinity at all, and that sex steroids are much more subtle and complex than we think. We are told that basically all men have succumbed to the virus, except some born after the outbreak. Yet trans women, as long as they get their oestrogen, are safe. But women with PCOS aren't (trans women are more womanly than women with PCOS, it's a well-known fact right? 🙄). The author states that the virus binds to elevated levels of testosterone, and even that a post-op trans woman had zombied out in the past, on television. So how the fuck does that work?! Women with PCOS will never have the levels of testosterone men have. And 75% of trans women cannot get their testosterone levels down to female-typical levels, even with medication! At the very least, Beth and Fran should've cut their testicles off as a security measure, so why didn't they (especially since we learn Fran defo wants bottom surgery)? How the fuck are they still alive, honestly? Also we're told Fran contracted the virus but got better, but it's never mentioned again... - Here's another kicker: the men affected grow barbs on their dongs (their dicks can also grow up to 11 inches, just because), run on all fours (there's zero reason for this, we are not adapted, skeletally, to run efficiently on all fours) and if they impregnate a woman, a male baby will chew its way out of her womb in three months' time and become sexually mature at 1 year of age. 🤦‍♀️ But why?! Why would a virus ""go"" to all this trouble, when it seems it has mostly been airborne until now? Like how did men even start contracting this thing? What's the bloody point of this detail? I mean fuck it the best explanation I've got is that barbed dicks are a fetish for the author (just like rape, check what she's said on the matter if you don't believe me) and the rest is just so it can be shocking/gross for the sake of it. The contempt for men is also very clear, because all of them are reduced to these beasts, and a character suggests that they can now happily rape and murder like they've always wanted deep down. Nice huh?- The very fact TERFs are a ""force"" of any kind in a post-apocalyptic world is laughably ridiculous, so are people caring about them and trans rights. Bitch please. People would care about survival, and reproduction in this context. Why is no one searching for a cure? Why is no one researching how to keep the species going? Hell, why aren't the TERFs using trans women as sperm donors rather than prostitutes? Why haven't some men managed to survive by castrating themselves, but without identifying as the opposite sex? I mean that's kind of the case with the sons of the women living in protected zones, but they transgender them, why? Like there's no reason for it, especially since it is TERFs doing it?! Like hello, why would they make trans women and use them as guards? It makes no bloody sense. Nor does calling them Maenads. 🤦‍♀️ Like for fuck's sake, put some effort into it! Why the hell would radical feminists use a term referring to devotees of a male god, when the Galli, eunuch devotees of the great goddess Demeter, existed too? Nor does using trans women and enbys as prostitutes. Again, for fuck's sake: the TERFs of this book are straw women in the purest sense of the word. It is a well-known fact that radical feminists tend to be very sex-critical, anti-porn, anti-sex work and kink-critical. A polity founded along their beliefs would exclude prostitution! (Not to mention in the real world, women use prostitutes a lot less than men do, but the author doesn't have a good grasp on female psychology, to say the least). - And they are sympathetic, because fundamentally, they want to protect the women who remain. The author literally gave - and this is once again ironically hilarious - the TERFs an objective and valid reason to fear all trans women. As biological males, they can absolutely zombie-wolf out into raping and killing monsters. The author obviously wanted to poo-poo feminists who wish to defend female-only spaces, but her argument cannot land effectively, because I repeat: women have a very good reason, post t-rex virus, to see all trans women as potential threats. Of course, when Beth is thrown out of her queer-friendly communal house, all she can think of is herself, and doesn't show the least ounce of empathy towards the women who are scared and losing their male relatives left, right and centre. Contrast this to a character in The End of Men who sacrifices her bond to her husband, her need for comfort and reassurance, to try and save her son. Just sayin'. Conclusion: Have to wrap this up. If a man had written this, hell if a woman had written this, it would've gotten torn to shreds by the Wokesters. In an age when it's cool to shit on Lovecraft, a dude dead almost a century, for his racist views, how the fuck is this book where white women, old women, hell women who are simply guilty of perceived ""wrongthink"" are endlessly mentioned with contempt and lust-fuelled hatred - because this is nothing but a personal, sexual kink-infused and Twitter-outraged revenge fantasy - not held to the same standard?! Because this is misogyny (and lesbophobia, and misandry, and cisphobia and transphobia) approved by the Woke Left. This was a diversity publication, nothing more. Shame on Tor. (Though hey, should give encouragement to aspiring writers that garbage like this can be published by a reputable publishing house 🤷‍♀️)."
jay,,"June 4, 2023",i dnf'ed this months ago and never logged it. oh well.
dyketatorship,Rating 1 out of 5,"May 10, 2023","too gruesome and i didn't like the graphic violence against women. guess it's my fault, im so not a horror kinda person"
karen,,"September 26, 2021",oh god this cover. nightfire knows exactly how to make me want to read a book.
Mel  Thomas,Rating 2 out of 5,"March 23, 2023","Lots of thoughts on this one! It’s a nasty, horny, mean little book (affectionate), and it’s got a lot of smart things to say about the volatile and highly conditional nature of cis “allyship.” Felker-Martin is clearly a talented writer who excels at vivid depictions of the grotesque, so I see why she’s drawn to horror. But ultimately I just don’t think this works as a horror novel, because horror needs more than gross shit. Not all horror needs to be piss-your-pants scary, but all horror does need tension! It needs suspense! It needs stakes! And there’s none of that here. It often feels aimless when it should be focused and self-pitying when it should be ruthless, and it’s overall prone to the sort of meandering navel-gazing that’d be more appropriate for a Substack essay than a novel set during a dystopian post-apocalypse. A lot of people have described this book as cruel, but I don’t think that’s quite the right word. It’s more that it’s powered solely by self-hatred. The frequent head-hopping keeps things moving at a quick clip, but it also exposes how every single character we meet—the manhunters, the loner, the doctor, the TERF—are all motivated and thus united by their unending hatred of themselves. And I get that this is very likely The Point, but it’s exhausting and often uninteresting to read. David Foster Wallace once said “there’s a lot of narcissism in self-hatred,” and yeah, that’s the vibe."
Meike,Rating 3 out of 5,"March 12, 2023","„Manhunt“ reads like a hallucinatory fever dream that processes the subconscious trauma caused by the adversities trans people face – mind you, this is not intended to be some politically correct rational argument about trans rights, it’s an in-your-face, over-the-top horror revenge tale (and I feel like many negative reviews that talk about misogyny etc. don’t get that, and also don’t get the humor that is the basis of the absurd plot). The book operates with the tropes of extreme horror cinema, namely the graphic notion that humans are meat sacks with bones, which gives the whole thing a certain slaughterhouse aesthetic - and if you find that already quite disturbing, this book probably isn't for you (to quote the author: ""I write the most disgusting books in the English language, books about sexual revulsion, about body horror, about how violence forms and fits into our lives."").  Let's have a look at the plot: In a plague-ridden world, people are threatened by a virus that turns everyone with enough testosterone into a cannibalistic monstrosity (the virus is called t.rex, of course). Our protagonists are trans women Beth and Fran, who are trying to fight off both feral men and TERFs who intend to destroy all trans women (which they perceive as disguised men, and thus dangerous). Beth and Fran team up with Robbie, a Native trans man, and Indi, a cis female doctor who knows how to supply estrogen. Together, they roam the postapocalyptic world while fighting against their trauma and for their lives, trying to beat the odds of trans-misogyny, gender dysphoria and social exclusion. Let's not end this round-up without giving a special mention to TERF soldier Ramona, whose career is going increasingly well, her double-life not so much, though. It should become clear that this plot aims to represent the discourse, but even more, it aims to represent the feeling of being the object of that discourse, to feel helpless and lash out via writing - and it's one of the noblest tasks of literature to make marginalized voices heard, in an artistic form. I find criticism that wants writers to ""behave"" rather silly. It's their job to create, not to behave.  So what bothered me when reading this was not the reliance on graphic violence, nastiness and obscenity (it's your usual extreme horror), but that the text is overly descriptive (a pet peeve of mine) and that the pacing was so off that it frequently felt like the author connected individually crafted scenes. Still, I applaud Felker-Martin for this daring text and the many good ideas, even though in the end, they don't quite form a cohesive novel. This is the kind of stuff that would never get nominated for the Women's Prize for Fiction, but you know what? It should be nominated, because it's not harmless ""look, we're the good ones here"" stuff, but seriously challenging to read and has things to say that you can debate over."
Brandon Baker,Rating 4 out of 5,"November 14, 2022","This was BRUTAL!! And gross, emotional, intense, and so much more. I’m very sad now 😂"
"Petra It's a year now, still in a dark place",,"February 18, 2023","""**People fix your hearts or die. Bind Jesse Singal with strong rope and bring him to the quarry at the edge of town. Give him to us alive and unspoiled. Leave, and no matter the sounds you hear, do not look back."" This evoked the same kind of horror in me as this story, A Party Down at the Square. The book is about burning black people, in the book called N*s. The quote, was about **Cis people who if they don't agree with Gretchen Felker-Martin deserve lynching. Is the world not moving forward in love and kindness and togetherness at all? Has the internet brought more divisiveness when we think it brings us all together, from all four corners of the earth and whatever language we speak?  Gretchen Felker-Martin on February 12 tweeted that she wanted to slit the throats of J.K. Rowling and several other authors who've spoken out against gender reassignment procedures for children, or letting trans women access some female-only spaces. One of those she threatened asked how she was able to remain on Twitter. In the transgender activist's debut novel, Manhunt, published in February 2022, Rowling is murdered. The book is promoted as 'an explosive post-apocalyptic novel that follows trans women and trans men on a grotesque journey of survival.' According to Twitter's March 2019 policy statement : 'You may not threaten violence against an individual or a group of people. We also prohibit the glorification of violence. From the Daily Rag. In the book, she had JK Rowling burned alive, but her tweets are more about slitting the throat of anyone she considers transphobic and she names names, Naturally everyone who doesn't agree with her book and tweets is a transphobe.I'm going to get the book though. I think the author is extreme, I don't agree with them at all, but still it is a work of fiction and many books of fiction, perhaps most are based on what the author knows in real life and works it to fit their story. I'm not going to 1 star it for objectionable views but rate it on how good a book it is."
Rachel (TheShadesofOrange),Rating 3 out of 5,"February 27, 2022","3.5 StarsI love that this ownvoices trans story exists. As a cis woman, I did not necessarily connect or understand all of the personal details infused in the book, but I appreciated being exposed to unique challenges of trans persons.In terms of a horror story, this one was gruesome and unflinching. The author is not afraid of a gritty tale that will likely be most terrifying to those with balls.My biggest challenge with this novel was a personal one, rather than a criticism of the book. That's the fact that I do not typically enjoy post-apocalyptic fiction. I was hoping the diversity aspect of this story could override my disinterest in the subgenre.  Unfortunately, despite the great representation, the story leaned heavily into the tropes of post-apocalyptic fiction… which just is not my thing.I would recommend this book to anyone looking for a diverse, queer horror story featuring a group of individuals who underrepresented in fiction.Disclaimer I received a copy of this book from the publisher."
